"name";"short_name";"address";"signature";"status";"type";"electoral_plenipotentiary";"financial_plenipotentiary";"range";"teryt"
"KOMITET WYBORCZY FORUM SAMORZĄDOWE MIAST I GMIN POWIATU ŻARSKIEGO";"KW FORUM SAMORZĄDOWE POW. ŻARSKIEGO";"ul. Podwale 14C m.2, 68-200 Żary";"DZG-7502-2/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Krzysztof Jan Tuga";"Elżbieta Borkowska";"woj. lubuskie";""
"KOMITET WYBORCZY FORUM SAMORZĄDOWE ZIEMI PLESZEWSKIEJ";"KW FORUM SAMORZĄDOWE ZIEMI PLESZEWSKIEJ";"ul. Daszyńskiego 11, 63-300 Pleszew";"DKL-7502-8/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Krzysztof Adam Szac";"Tadeusz Rak";"woj. wielkopolskie";""
"KOMITET WYBORCZY FORUM SAMORZĄDOWE ZIEMI WIELUŃSKIEJ";"KW FORUM SAMORZĄDOWE ZW";"UL. STASZICA 46A, 98-300 WIELUŃ";"DSR-7503-73/10";"Zarejestrowany";"Komitet wyborczy organizacji";"ZYGMUNT ADAMSKI";"DARIUSZ ZENON GAJEWSKI";"woj. łódzkie";""
"KOMITET WYBORCZY FORUM SAMORZĄDOWO-GOSPODARCZE";"KW FORUM SAMORZĄDOWO-GOSPODARCZE";"ul. Nowa 14, 97-500, Radomsko";"DPT-7502-5/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Janina Ewa Łabudzka";"Anna Czesława Worwąg";"woj. łódzkie";""
"KOMITET WYBORCZY FORUM SAMORZĄDOWO GOSPODARCZE";"KW FORUM SAMORZĄDOWO GOSPODARCZE";"ul. Marii Merkert 16a/1, 48-300 Nysa";"DOP2-7502-4/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Zbigniew Majka";"Ryszard Tuszyński";"woj. opolskie";""
"KOMITET WYBORCZY FORUM ZIEMI WODZISŁAWSKIEJ";"KW FORUM ZIEMI WODZISŁAWSKIEJ";"ul. Czyżowicka 15B, 44-300, Wodzisław Śląski";"DBB-7502-9/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Krzysztof Piotr Lewandowski";"Dominika Porwoł";"woj. śląskie";""
"KOMITET WYBORCZY GMINNEGO ZRZESZENIA LUDOWE ZESPOŁY SPORTOWE W LUBAWIE";"KW GZ LZS W LUBAWIE";"FIJEWO 73   14-260 LUBAWA";"DEL-7503-158/10";"Zarejestrowany";"Komitet wyborczy organizacji";"ŁUKASZ BERENT";"PIOTR ZIELIŃSKI";"woj. warmińsko-mazurskie";""
"KOMITET WYBORCZY GMINNE POROZUMIENIE SAMORZĄDOWE W RYKACH";"KW GPS W RYKACH";"ul. Swatowska 33B 08-500 Ryki";"DLB-7503-183/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Andrzej Bogusław Kornas";"Karolina Piwowarczyk";"woj. lubelskie";""
"KOMITET WYBORCZY GMINNO POWIATOWA UNIA SAMORZĄDOWA";"KW GMINNO POWIATOWA UNIA SAMORZĄDOWA";"Działkowca 14, 57-200 Ząbkowice Śląskie";"DWB-7502-7/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Andrzej Piotr Płucienniczak";"Anna Dioniza Kowal";"woj. dolnośląskie";""
"KOMITET WYBORCZY GNIEWCZYŃSKIEGO STOWARZYSZENIA POMOCY I ROZWOJU";"KW GNIEWCZYŃSKIE STOWARZYSZENIE ROZWOJU";"Gniewczyna Łańcucka 531, 37-203 Gniewczyna Łańcucka";"DPR-7502-2/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Władysław Mazur";"Lucyna Rachfał";"woj. podkarpackie";""
"KOMITET WYBORCZY GOSPODARNA GMINA BUSKO - ZDRÓJ";"KW GOSPODARNA GMINA BUSKO - ZDRÓJ";"ul. Przemysłowa 3, Owczary, 28-100 Busko - Zdrój";"DKC2-7502-9/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Mariusz Robert Musiał";"Barbara Maria Malec";"woj. świętokrzyskie";""
"KOMITET WYBORCZY GOSTYNIŃSKA WSPÓLNOTA SAMORZĄDOWA";"KW GOSTYNIŃSKA WSPÓLNOTA SAMORZĄDOWA";"ul. Kutnowska 47, 09-500 Gostynin";"DPŁ.7502-2/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Dariusz Włodzimierz Lewandowski";"Edwin Bogdan Ciesielski";"woj. mazowieckie";""
"KOMITET WYBORCZY GÓROWSKA MAŁA OJCZYZNA";"KW GÓROWSKA MAŁA OJCZYZNA";"KOŚCIUSZKI 17/7 11-220 GÓROWO IŁAWECKIE";"DEL-7503-108/10";"Zarejestrowany";"Komitet wyborczy organizacji";"WIESŁAW SKROCKI";"JANINA MORDAS";"woj. warmińsko-mazurskie";""
"KOMITET WYBORCZY ""GÓRY KULTURY""";"KW ""GÓRY KULTURY""";"ul. Karola Miarki 2, 42-600, Tarnowskie Góry";"DKT-7502-26/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Stanisław Maciej Torbus";"Magdalena Lucyna Ałaszewska";"woj. śląskie";""
"KOMITET WYBORCZY INICJATYWA OBYWATELSKA POWIATU TARNOGÓRSKIEGO";"KW INICJATYWA OBYWATELSKA";"ul. Rynek 5, 42-600, Tarnowskie Góry";"DKT-7502-11/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Stefan Jan Zientkowski";"Antoni Zygmunt Tuszyński";"woj. śląskie";""
"KOMITET WYBORCZY IZBA RZEMIOSŁA I PRZEDSIĘBIORCZOŚCI W LUBLINIE";"KW RZEMIOSŁA PRZEDSIĘBIORCZOŚCI";"ul. Rynek 2; 20-111 Lublin";"DLB-7503-342/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Zbigniew Andrzej Marchwiak";"Lucyna Wolska";"woj. lubelskie";""
"KOMITET WYBORCZY JAWORZNO MOJE MIASTO";"KW JAWORZNO MOJE MIASTO";"ul. Św. Wojciecha 2, 43-600, Jaworzno";"DKT-7502-20/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Marcin Tomasz Marzyński";"Mirosław Andrzej Sobczak";"woj. śląskie";""
"KOMITET WYBORCZY ""JEDNOŚĆ POWIATOWA""";"KW JEDNOŚĆ POWIATOWA";"ul. Kolejowa 24, 59-100, Polkowice";"DLG-7502-2/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Grzegorz Dariusz Majewicz";"Mariola Kurant";"woj. dolnośląskie";""
"KOMITET WYBORCZY JÓZEFOWSKIE STOWARZYSZENIE NA RZECZ OSÓB NIEPEŁNOSPRAWNYCH ""NADZIEJA""";"KW STOWARZYSZENIE ""NADZIEJA""";"Józefów, ul. Kościuszki 6A, 23-460 Józefów";"DZM-7502-7/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Jerzy Grzegorz Kamieński";"Agnieszka Jadwiga Podolak-Wilczyńska";"woj. lubelskie";""
"KOMITET WYBORCZY KLUB SPORTOWY ""POGOŃ 1929"" ŚMIGIEL";"KW KS ""POGOŃ 1929"" ŚMIGIEL";"ul. M.Konopnickiej 4, 64-030 Śmigiel";"DLS-7502-11/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Miłosz Grzelak";"Włodzimierz Kazimierz Włodarkiewicz";"woj. wielkopolskie";""
"KOMITET WYBORCZY KŁODZKI KOMITET OBYWATELSKI";"KW KŁODZKI KOMITET OBYWATELSKI";"ul. Armii Krajowej 31, 57-300 Kłodzko";"DWB-7502-3/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Zenon Adam Fitzerman";"Dariusz Wiktor Dudek";"woj. dolnośląskie";""
"KOMITET WYBORCZY KOALICJA SAMORZĄDOWA";"KW KOALICJA SAMORZĄDOWA";"ul. Przechodnia 6 m. 27, 42-100 Kłobuck";"DCZ-7502-2/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Dariusz Ryszard Wojnowski";"Danuta Jadwiga Respondek";"woj. śląskie";""
"KOMITET WYBORCZY KOCHAM KAMPINOS";"KW KOCHAM KAMPINOS";"ul. Krasińskiego 27, 05-080 Izabelin";"DWW-7502-6/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Monika Ewa Grzesik";"Urszula Wójcik";"woj. mazowieckie";""
"KOMITET WYBORCZY KOLIBA";"KW KOLIBA";"ul. Górska 24, 43-370, Szczyrk";"DBB-7502-13/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Zofia Wiktoria Krupińska";"Irena Nurkowska";"woj. śląskie";""
"KOMITET WYBORCZY KOMITET ROZWOJU ZAGŁĘBIA";"KW KOMITET ROZWOJU ZAGŁĘBIA";"ul. Małachowskiego 29, 42-500, Będzin";"DKT-7502-22/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Grzegorz Michał Wacławik";"Agnieszka Mirosława Ryczek";"woj. śląskie";""
"KOMITET WYBORCZY KONSTANTYNOWSKIE POROZUMIENIE SAMORZĄDOWE";"KW KPS";"ul. Jana Pawła II 9, 95-050 Konstantynów Łódzki";"DŁD-7502-4/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Kacper Demko";"Krystyna Jolanta Witaszewska";"woj. łódzkie";""
"KOMITET WYBORCZY KOŚCIAŃSKA INICJATYWA OBYWATELSKA";"KW KOŚCIAŃSKA INICJATYWA OBYWATELSKA";"ul. Brzozowa 6, 64-000 Kościan";"DLS-7502-10/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Wojciech Szymanowski";"Żaneta Marieta Bieganek";"woj. wielkopolskie";""
"KOMITET WYBORCZY KRAJAN";"KW KRAJAN";"Pawłosiów 69, 37-500 Pawłosiów";"DPR-7502-1/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Zdzisława Misiąg";"Marek Sierpiński";"woj. podkarpackie";""
"KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW";"KW KRAJOWA PARTIA EMERYTÓW I RENCISTÓW";"ul. Nowogrodzka 7/9 lok. 35, 00-513 Warszawa";"ZPOW-7500-11/10";"Zarejestrowany";"Komitet wyborczy partii politycznej";"Tadeusz Henryk Staniewski";"Tadeusz Witold Czajka";"Polska";""
"KOMITET WYBORCZY KRAJOWE STOWARZYSZENIE POLSKIEGO BLOKU LUDOWEGO";"KW STOWARZYSZEN POLSKIEGO BLOKU LUDOWEGO";"ul. Czapliniecka 19a, 97-400, Bełchatów";"DPT-7502-7/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Aleksandra Pierzchała";"Barbara Genowefa Kibitlewska";"woj. łódzkie";""
"KOMITET WYBORCZY KRAKOWSKIE POROZUMIENIE MIESZKAŃCÓW";"KW KRAKOWSKIE POROZUMIENIE MIESZKAŃCÓW";"30-015 Kraków, ul. Świętokrzyska 12";"DKR-7504-7/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Grażyna Jadwiga Jagła";"Jolanta Maria Lempart";"woj. małopolskie";""
"KOMITET WYBORCZY KUJAWSKA INICJATYWA SAMORZĄDOWA";"KW KUJAWSKA INICJATYWA SAMORZĄDOWA";"Służewo-Pole 11, 87-700 Aleksandrów Kuj.";"DWL-7502-1/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Marian Krzysztof Gołębiewski";"Alicja Teofila Wawrzeńczak";"woj. kujawsko-pomorskie";""
"KOMITET WYBORCZY LEPSZA POLSKA";"KW LEPSZA POLSKA";"1-go Sierpnia 49 m. 9, 02-134 Warszawa";"ZPOW-7500-3/10";"Zarejestrowany";"Komitet wyborczy partii politycznej";"Cezary Stachoń";"Władysław Stachoń";"Polska";""
"KOMITET WYBORCZY LEPSZY KOSZALIN";"KOMITET WYBORCZY LEPSZY KOSZALIN";"ul.Marszałka Piłsudskiego 28, 75-511 Koszalin";"DKS-7502-1/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Leszek Andrzej Kowalczyk";"Irena Ciesielska";"woj. zachodniopomorskie";""
"KOMITET WYBORCZY ""LEPSZY MYSZKÓW""";"KW LEPSZY MYSZKÓW";"ul. Plac Dworcowy 1, 42-300 Myszków";"DCZ-7502-8/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Michał Adam Pstrowski";"Grażyna Halina Bielawska";"woj. śląskie";""
"KOMITET WYBORCZY LESZCZYŃSKIE POROZUMIENIE SAMORZĄDOWE";"KW LESZCZYŃSKIE POROZUMIENIE SAMORZĄDOWE";"ul. Dworcowa 4, 64-100 Leszno";"DLS-7502-2/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Zenobiusz Klemens Wyrodek";"Wiesław Ludwik Kościański";"woj. wielkopolskie";""
"KOMITET WYBORCZY ""LIGA NYSKA""";"KW LIGA NYSKA";"ul. Prudnicka 3, 48-304 Nysa";"DOP2-7502-1/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Janusz Antoni Sanocki";"Marek Aleksander Kobylański";"woj. opolskie";""
"KOMITET WYBORCZY LIGA POLSKICH RODZIN";"KW LIGA POLSKICH RODZIN";"ul. Wilcza 69 lok. 7, 00-679 Warszawa";"ZPOW-7500-21/10";"Zarejestrowany";"Komitet wyborczy partii politycznej";"Grzegorz Tadeusz Dębski";"Marcin Kuba Alama";"Polska";""
"KOMITET WYBORCZY LIGA POWIATU NYSKIEGO";"KW LIGA POWIATU NYSKIEGO";"ul. Prudnicka 3, 48-304 Nysa";"DOP2-7502-2/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Ryszard Tadeusz Jamiński";"Ryszard Brejer";"woj. opolskie";""
"KOMITET WYBORCZY LIGA SAMORZĄDOWA ZIEMI PSZCZYŃSKIEJ";"KW LIGA SAMORZĄDOWA ZIEMI PSZCZYŃSKIEJ";"ul. Tkacka 3, 43-200, Pszczyna";"DBB-7502-3/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Piotr Kubala";"Janusz Marian Kroll";"woj. śląskie";""
"KOMITET WYBORCZY LISTA ZIEMI BRANIEWSKIEJ";"KW LISTA ZIEMI BRANIEWSKIEJ";"UL. MORSKA 45 14-500 BRANIEWO";"DEL-7503-14/10";"Zarejestrowany";"Komitet wyborczy organizacji";"KRZYSZTOF SZCZEPANIK";"MARIA SUCZYK";"woj. warmińsko-mazurskie";""
"KOMITET WYBORCZY LKS ""JEDNOŚĆ""";"KW LKS ""JEDNOŚĆ""";"ul. Poprzeczna 3a, 44-290, Jejkowice";"DKT-7502-16/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Grzegorz Wincenty Zimoń";"Bronisław Zielonka";"woj. śląskie";""
"KOMITET WYBORCZY LUDOWY KLUB SPORTOWY ""PRZEŁOM"" BESKO";"KW ""PRZEŁOM"" BESKO";"ul. Kolejowa 101, 38-524 Besko";"DKO-7502-5/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Adam Józef Białas";"Wojciech Pasternak";"woj. podkarpackie";""
"KOMITET WYBORCZY LUDOWY KLUB SPORTOWY ""ROTAVIA""";"KW LKS ""ROTAVIA""";"ul. Jagodowa 2, 05-126 Nieporęt";"DWW-7502-20/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Zbigniew Karczmarczyk";"Katarzyna Maria Karczmarczyk";"woj. mazowieckie";""
"KOMITET WYBORCZY LUDOWY KLUB SPORTOWY ""TĘCZA""";"KW LUDOWY KLUB SPORTOWY ""TĘCZA""";"ul. Kościelna 19, 07-437 Łyse";"DOS-7502-3/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Mariusz Pisarek";"Paweł Jacek Łachacz";"woj. mazowieckie";""
"KOMITET WYBORCZY ŁAŃCUCKIE FORUM KOBIET";"KW ŁAŃCUCKIE FORUM KOBIET";"ul. Piłsudskiego 9/21, 37-100, Łańcut";"DRZ-7502-6/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Agata Rojek";"Krystyna Stanisława Firla";"woj. podkarpackie";""
"KOMITET WYBORCZY ŁOSICKIE STOWARZYSZENIE ROZWOJU - EQUUS";"KW ŁSR - EQUUS";"ul. Piłsudskiego 6 m 10, 08-200 Łosice";"DSD.7502-2/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Jarosław Miroński";"Teresa Mitrofaniuk";"woj. mazowieckie";""
"KOMITET WYBORCZY MARECKIE STOWARZYSZENIE GOSPODARCZE";"KW MARECKIE STOWARZYSZENIE GOSPODARCZE";"ul. Kościuszki 43, 05-270 Marki";"DWW-7502-8/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Dariusz Sylwester Pietrucha";"Andrzej Szczepanik";"woj. mazowieckie";""
"KOMITET WYBORCZY MIEJSKI LUDOWY KLUB SPORTOWY WISSA";"KW MLKS WISSA";"ul. Grunwaldzka 2, 19-230 Szczuczyn";"DLM-7502-3/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Tadeusz Kozikowski";"Stanisław Danowski";"woj. podlaskie";""
